ID,LOC1,LOC2,LOC3,PREDICTED
RASGRP3,PM associated,ER membrane,nan,membrane
RASGRP4,nan,nan,nan,membrane / cytosol
RB1,nucleus,nan,nan,nucleus
RBBP4,nan,nan,nan,nucleus / cytosol
RBL1,nan,nan,nan,nucleus
RBL2,nan,nan,nan,nucleus / cytosol
RCAN1,nan,nan,nan,nucleus / cytosol
RCAN2,nan,nan,nan,nucleus
RCAN3,nan,nan,nan,nucleus
RCN1,nan,nan,nan,endoplasmic
RCN2,nan,nan,nan,endoplasmic
RCN3,nan,nan,nan,endoplasmic
RCVRN,PM associated,cytosol,nan,cytosol
REG1A,nan,nan,nan,extracellular
REG1B,nan,nan,nan,nucleus
REG3A,nan,nan,nan,extracellular
REG3G,nan,nan,nan,extracellular
REG4,nan,nan,nan,extracellular
RELA,nan,nan,nan,nucleus / cytosol
REM1,PM,nan,nan,membrane
REM2,PM,nan,nan,membrane
REPS1,cytosol,nan,nan,membrane / cytosol
REPS2,cytosol,nan,nan,cytosol
RGN,nan,nan,nan,nucleus
RGS2,nan,nan,nan,membrane / nucleus / cytosol
RGS4,nan,nan,nan,nucleus
RHBDL2,PM ,nan,nan,membrane
RHBDL3,PM ,ER membrane,nan,membrane
RHOA,nan,nan,nan,membrane / extracellular / cytosol
RHOT1,Mitochondrion outer membrane,nan,nan,mitochondrion
RHOT2,Mitochondrion outer membrane,nan,nan,mitochondrion
RIMS1 ,nan,nan,nan,NA
RIMS2 ,nan,nan,nan,NA
RIMS3,nan,nan,nan,membrane / cytoskeleton
RIPK2,nan,nan,nan,cytoskeleton / cytosol
RIPK3,nan,nan,nan,nucleus / cytosol
RNF170,nan,nan,nan,membrane
RPH3A,ca2+ binding,nan,nan,membrane / cytosol
RPH3A ,synaptic vesicle membrane,nan,nan,NA
RPTN,extracellular matrix,nan,nan,membrane
RRAD,PM,nan,nan,cytosol
RTN4,nan,nan,nan,membrane / nucleus / plasma
RYR1,SR membrane,ER membrane,nan,membrane / plasma
RYR2,SR membrane,ER membrane,nan,membrane / plasma
RYR3,SR membrane,ER membrane,nan,membrane
S100A1,nan,nan,nan,reticulum / cytosol
S100A10,nan,nan,nan,extracellular / cytosol
S100A11,nan,nan,nan,nucleus
S100A12,nan,nan,nan,membrane / extracellular / cytoskeleton / nucleus / cytosol
S100A13,nan,nan,nan,membrane / extracellular / nucleus / cytosol
S100A14,nan,nan,nan,extracellular
S100A16,nan,nan,nan,nucleus / cytosol
S100A2,nan,nan,nan,cytosol
S100A3,nan,nan,nan,cytosol
S100A4,nan,nan,nan,extracellular / nucleus
S100A5,nan,nan,nan,nucleus
S100A6,nan,nan,nan,membrane / nucleus / cytosol
S100A7,nan,nan,nan,nucleus / reticulum / cytosol
S100A7a,nan,nan,nan,extracellular
S100A7L2,nan,nan,nan,extracellular
S100A8,nan,nan,nan,membrane / extracellular / cytoskeleton / nucleus / cytosol
S100A9,nan,nan,nan,membrane / extracellular / cytoskeleton / nucleus / cytosol
S100B,nan,nan,nan,extracellular / nucleus / cytosol
S100G,nan,nan,nan,extracellular / cytosol
S100P,Cytosol ,Nucleoplasm,nan,membrane / nucleus
S100Z,Cytosol ,Nucleoplasm,nan,cytosol
S1PR4 ,nan,nan,nan,NA
SACM1L,nan,nan,nan,membrane / cytosol
SARAF,ER membrane,nan,nan,endoplasmic
SCGN,cytosol,secretory granules ,nan,cytosol
SCHIP1,nan,nan,nan,membrane
SCIN,nan,nan,nan,membrane
SCIN,nan,nan,nan,membrane
SDF4,nan,nan,nan,extracellular
SEC24A,nan,nan,nan,cytosol
SEC61A1,ER membrane,nan,nan,endoplasmic
SEC61A2,ER membrane,nan,nan,membrane
SEC61B,ER membrane,nan,nan,endoplasmic
SEC61G,ER membrane,nan,nan,endoplasmic / cytosol
SEC62,ER membrane,nan,nan,endoplasmic
SEC63,ER membrane,nan,nan,endoplasmic
SELENOF,nan,nan,nan,extracellular / nucleus
SELENOK,nan,nan,nan,endoplasmic
SELENOM,nan,nan,nan,extracellular / cytosol
SELENON,nan,nan,nan,endoplasmic
SELENOS,nan,nan,nan,cytoskeleton / reticulum
SELENOT,nan,nan,nan,endoplasmic
SELL,nan,nan,Ca2+ binding,membrane
SEPTIN4,PM associated,cytosol,nan,cytoskeleton / mitochondrion / nucleus
SEPTIN7,PM associated,cytosol,nan,cytoskeleton / nucleus / cytosol
SESTD1,nan,Ca2+ entry,nan,cytoskeleton
SH2D1A,nan,nan,nan,cytosol
SH2D1B,nan,nan,nan,cytosol
SH3RF1,Golgi apparatus,perinuclear region,nan,cytosol
SHH,nan,nan,nan,membrane / extracellular
SIGLEC8,PM,nan,nan,membrane
SIGMAR1,ER membrane,nan,nan,nucleus / reticulum
SLA,nan,nan,nan,cytosol
SLA2,nan,nan,nan,membrane / endosome / cytosol
SLA2,nan,nan,nan,membrane / endosome / cytosol
SLAMF1,nan,nan,nan,membrane / extracellular
SLAMF7,nan,nan,nan,membrane
SLC10A7,PM,ER membrane,nan,membrane / plasma
SLC24A1,PM,nan,nan,membrane
SLC24A2 ,PM,nan,nan,NA
SLC24A3,PM,nan,nan,membrane
SLC24A4,PM,nan,nan,membrane
SLC24A5,PM,nan,nan,membrane
SLC25A12,nan,nan,nan,mitochondrion
SLC25A13,nan,nan,nan,membrane / mitochondrion
SLC25A23,nan,nan,nan,mitochondrion
SLC25A24,nan,nan,nan,mitochondrion
SLC25A25,nan,nan,nan,mitochondrion
SLC35G1,nan,nan,nan,membrane / plasma
SLC5A11,nan,nan,nan,membrane
SLC5A3,nan,nan,nan,membrane
SLC8A1,PM,ER membrane,inner mitochondria membrane,membrane
SLC8A2,PM,ER membrane,inner mitochondria membrane,membrane
SLC8A3,PM,ER membrane,inner mitochondria membrane,membrane
SLC8B1,nan,nan,nan,membrane / mitochondrion
SLC9A1,PM,ER,nan,membrane / nucleus
SLC9A3 ,nan,nan,nan,NA
SLC9A3R2,nan,nan,nan,membrane
SLC9A3R2 ,nan,nan,nan,NA
SLN,ER membrane,SR membrane,nan,endoplasmic
SMAD1,nan,nan,nan,nucleus / cytosol
SMAD2 ,nan,nan,nan,NA
SMARCA4,nan,nan,nan,nucleus
SMDT1,Mitochondria inner membrane,nan,nan,mitochondrion / nucleus
SMOC1,Extracellular matrix ,nan,nan,extracellular
SMOC2,Extracellular matrix ,nan,nan,extracellular
SMPD1,nan,nan,nan,membrane / extracellular / endosome / lysosome
SMTNL1,myofibril,nan,nan,nucleus
SNAP25,nan,nan,nan,membrane / cytoskeleton / cytosol
SNAPIN,Ca2+ release,nan,nan,cytosol
SNCA,PM associated,Mitochondria-associated ER membranes,cytosol,membrane / extracellular / cytoskeleton / mitochondrion / nucleus / cytosol / lysosome
SNTA1 ,nan,nan,nan,NA
SNTB1,nan,nan,nan,membrane / cytoskeleton
SNTN,Cilia,nan,nan,membrane / cytoskeleton
SP4,nan,nan,nan,nucleus
SPARC,extracellular matrix,secreted protein,nan,nucleus
